Nyckel;Miltal;MY;Kaross;Drift;Märke;Modell;Pris;Dragkrok;Batteristorlek
2665;9483;2021;Sedan;4;Tesla;Model 3;288900;0;75
2666;5377;2020;Halvkombi;2;Peugeot;e-208;164800;0;50
2667;6752;2022;SUV;4;Tesla;Model Y;364800;0;75
2668;7038;2022;SUV;4;Tesla;Model Y;369700;0;75
2669;4938;2022;SUV;2;Kia;EV6;368900;0;77
2670;4459;2022;SUV;4;Volkswagen;ID.4;368800;1;77
2671;0;2024;SUV;2;Volvo;C40;529800;0;79
2672;8097;2022;SUV;4;Tesla;Model Y;359800;0;75
2673;6677;2022;SUV;2;Kia;e-Niro;269900;0;64
2674;8681;2022;SUV;2;Volvo;XC40;339900;1;67
2675;5850;2023;SUV;2;Volvo;C40;349000;1;79
2676;1795;2022;Yrkesfordon;2;Peugeot;E-expert;259800;1;75
